SalesID,ClientID,ClientName,Email,Phone,Address,City,Country,OrderDate,Item,Quantity,Price,Total
377fea67-c907-4949-84d2-d51fe2df9604,InvalidID,Thomas Duran,charris@example.com,InvalidPhone,"454 Stacey Ford
Port Robin, CT 26176",South Sandraborough,China,InvalidDate,ok,,-1.0,
83055e89-d654-4206-9cff-f8d9f7132862,,Mrs. Catherine Ali,,,,Brittanyborough,Korea,2024-05-27,month,,,
74a6d7a0-1fb0-47a9-8dfb-b2f88d4a0b02,05d165b2-ca98-481d-b5de-b113d7e96862,Mark Bailey,,,,,Sierra Leone,2024-03-19,machine,1.0,140.32,140.32
fe4ae130-b943-4581-a0c3-02abe07d3edd,,Linda Patel,jessicarichmond@example.com,629.293.9675,"71843 Mendoza Crest
New Justinmouth, OR 08868",Staceyhaven,Montenegro,2024-03-02,yard,,-1.0,
3c553d65-953a-4e1c-b0f1-77bc2a946183,76dd238b-4973-479c-a212-4147456acf7f,Lisa Wright,,,"46566 Samantha Trail Apt. 330
Cindychester, HI 96619",Stokesfurt,El Salvador,2024-05-13,site,-1.0,-1.0,
e323d934-f2d8-4b8a-a19c-fe59df731a20,d06435c9-6ec5-4d7c-874d-cac6ab42757c,Theresa Rodriguez,steven24@example.org,InvalidPhone,"283 Nicole Rapids
Hortonshire, NC 17220",North Marie,Afghanistan,2024-02-23,weight,-1.0,148.82,
4f06b3ca-7568-4847-b82a-a9ce5134894f,,Amanda Howard,,,"617 Rebecca Crossroad
South Nicole, OK 59082",,Uruguay,InvalidDate,little,6.0,,
c7b021a0-4f7d-4549-b03c-a312147fde95,InvalidID,Jamie Montgomery,samuelbishop@example.com,,"591 Kathryn Island
Taylorburgh, HI 30117",South Kevin,Northern Mariana Islands,2024-09-12,drive,6.0,,
50431101-0086-4e34-92ea-7bbe3941d284,e4207102-8164-47ec-8b1d-2a13e6a161d5,Charles Morrison,InvalidEmail,InvalidPhone,"79948 Ashley Road
Christopherfort, FL 84618",,Sudan,2024-07-31,assume,-1.0,119.29,
61abee70-3959-465e-b8b9-af102f7dfe48,e03fcdad-a2a8-445a-8784-b1db28a74bdc,James Hawkins,InvalidEmail,,"0830 Wolf Turnpike
Dawntown, NJ 10970",Smithmouth,Kyrgyz Republic,2024-08-25,watch,-1.0,472.94,
fba8eada-d4af-4fbf-b4ee-6f4b4e62f20c,7173b3b4-9703-4702-90b2-86ca69074c65,Paul Robinson,,809-706-1178,"082 Jackie Greens Apt. 739
Lake Ashleytown, MA 06470",Lopezland,Singapore,2024-05-24,from,,,
